category,Text
entertainment, berlin cheer anti nazi film german movi anti nazi resist heroin drawn loud applaus berlin film festiv sophi scholl final day portray final day member white rose movement scholl 21 arrest behead brother han 1943 distribut leaflet condemn abhorr tyranni adolf hitler director marc rothemund said feel respons keep legaci scholl go must somehow keep idea aliv ad film drew transcript gestapo interrog scholl trial preserv archiv communist east germani secret polic discoveri inspir behind film rothemund work close surviv rel includ one scholl sister ensur histor accuraci film scholl member white rose resist group first start distribut anti nazi leaflet summer 1942 arrest drop leaflet munich univers call day reckon adolf hitler regim film focus six day scholl arrest intens trial saw scholl initi deni charg end defiant appear one three german film vy top prize festiv south african film version bizet tragic opera carmen shot cape town xhosa languag also premier berlin festiv film entitl u carmen ekhayelitsha carmen khayelitsha township stori set perform 40 strong music theatr troup debut film perform film first south african featur 25 year second nomin golden bear award
business, virgin blue share plummet 20 share australian budget airlin virgin blue plung 20 warn steep fall full year profit virgin blue said profit tax year march would 10 15 lower previou year sluggish demand report previous novemb decemb 2004 continu said virgin blue chief execut brett godfrey virgin blue 25 own richard branson struggl fend pressur rival jetstar cut full year passeng number forecast approxim 2 5 virgin blue report 22 fall first quarter profit august 2004 due tough competit novemb first half profit due slack demand rise fuel cost virgin blue launch four year ago roughli one third australia domest airlin market nation carrier qanta fought back budget airlin jetstar took sky may 2004 sydney list virgin blue share recov slightli close 12 wednesday share major sharehold patrick corpor own 46 virgin blue drop 31 close
business, crude oil price back 50 cold weather across part unit state much europ push us crude oil price 50 barrel first time almost three month freez temperatur heavi snowfal increas demand heat fuel us stock low fresh fall valu dollar help carri price 50 mark first time sinc novemb barrel us crude oil close 2 80 51 15 new york tuesday opec member said tuesday saw reason cut output although last year peak 55 67 barrel reach octob price well 2004 averag 41 48 brent crude also rose london trade ad 1 89 48 62 close much western europ north east america shiver unseason low temperatur recent day declin us dollar five week low euro also serv inflat price dollar move sharpli overnight oil follow said chri fur senior market strategist 4cast dollar continu weaken oil obvious higher sever opec member said cut product unlik cite rise price strong demand oil asia agre need cut suppli price much fathi bin shatwan libya oil minist told reuter think need cut unless price fall 35 barrel ad opec close watch global stock ensur excess suppli market arriv spring northern hemispher focu attent stockpil us crude gasolin 9 higher time last year heavi stockpil could help forc price lower demand eas
politics, hagu given pm ambit former conserv leader william hagu say stand leadership given ambit prime minist mr hagu 43 told daili telegraph would find life domin polit bore unfulfil mr hagu step parti 2001 elect defeat rule return front bench also told paper hope remain mp richmond north york start famili wife ffion mr hagu recent publish biographi william pitt younger also said want continu write book speech write told newspap know whether ever go back front rush ask would stand leadership mr hagu repli definit determin stay away central role disappoint senior conserv member say parti need tim collin shadow educ secretari said last week would huge boost parti mr hagu return front bench mr hagu becam mp 27 leader opposit 36 said feel fortun age 40 cram entir polit career cabinet leader parti branch thing liber feel mr hagu ad may misjudg ambit prime minist mayb driven polit thought said
sport, moya emot davi cup win carlo moya describ spain davi cup victori highlight career beat andi roddick end usa challeng sevil moya made miss spain 2000 victori injuri beat roddick 6 2 7 6 7 1 7 6 7 5 give host unassail 3 1 lead woken mani night dream day said moya energi focus today live today think live spain davi cup titl came two year ago valencia beat australia moya nicknam charli admit davi cup dream bit nervou outset peopl said obsess think better way help reach goal obsess realli incred get win point realli someth spanish captain jordi arres said charli play great game opportun let us lost three time roddick day beat wait year posit spain victori also remark perform rafael nadal beat roddick open singl age 18 year 185 day mallorcan becam youngest player win davi cup great way finish year said nadal afterward us coach patrick mcenro want roddick rest team play tenni clay hone skill surfac think help guy even slow hard court learn mix thing littl bit play littl bit smarter tactic better obvious unrealist say go start play constantli clay schedul certainli think put work appropri time play coupl event play guy best stuff said mcenro roddick left frustrat lose singl slow clay sevil olymp stadium tough felt like whole time one top three clay courter world said american chanc convert bottom line better us weekend came took care busi beat us simpl
business, korean credit card firm rescu south korea largest credit card firm avert liquid follow one trillion 960m 499m bail lg card threaten collaps huge debt firm creditor former parent step rescu consortium creditor lg group famili own conglomer put 480m stabilis firm lg card seven million custom collaps would sent shockwav countri economi firm creditor 99 lg card tri agre deal secur futur sever week took control compani januari avoid bankruptci 4 5bn bail threaten delist compani move would trigger massiv debt redempt forc compani bankruptci unless agreement reach futur fund lg card need financi aid laah chong gyu execut director korea develop bank one firm creditor said agreement see 12 trillion debt convert equiti purpos capit inject avoid delist goal met david kim analyst sejong secur told reuter south korea consum credit market slowli recov crisi 2002 credit bubbl burst million consum fell behind debt repay lg card return profit septemb need capit avoid thrown market south korea stock exchang delist firm debt exce asset two year run
politics, howard back stem cell research michael howard back stem cell research say import peopl frighten futur controversi issu featur recent us presidenti elect georg bush oppos extend tori leader argu moral case embrac scienc could help victim alzheim parkinson motor neuron diseas believ duti offer hope million peopl suffer devast ill said use embryon stem cell uk alreadi allow stem cell master cell abil develop bodi tissu type scientist hope grow cell laboratori programm form specif tissu kidney heart even brain tissu mr howard acknowledg genuin concern stem cell research argu frighten chang nostalg past must optimist futur politician must creat right framework great potenti scienc har benefit mankind life expect averag briton around mid 70 societi respons enhanc qualiti peopl live grow older know mani peopl concern stem cell research fear meddl see stuff soul respect concern also believ duti offer hope million peopl suffer devast ill like parkinson multipl sclerosi motor neuron diseas alzheim saw paper today possibl heart problem mr howard acknowledg easi answer issu necessari courag know moral right ad cours stem cell still recent discoveri research need done must look potenti respons grown way hope million peopl rest could achiev former superman actor late christoph reev advoc research paralys hors ride accid mr howard made remark speech westminst conserv nation women committe ambit valu
sport, connor boost british tenni former world number one jimmi connor plan long term relationship lawn tenni associ help unearth next tim henman american spent three day lta annual elit perform winter camp la manga earlier week britain right attitud said connor involv lta better short term arrang confus kid ask lta chief execut john crowther ad relationship jimmi alreadi start develop coach player said us like want use jimmi number week year hope begin good long term relationship camp play host 30 lead senior junior player includ greg rusedski arvind parmar ann keothavong la manga amaz site take bunch kid want best said connor speak queen club london impress coach way kid went workout feel put everi practic interest see kid 15 16 17 desir passion brought coach surround instil import work practic someth buy know given give back effort everi minut practic speak la manga lta perform director david felgat told bbc sport jimmi fantast player coach humbl consid achiev work coach hope grow get individu relationship player get know made clear word go want short term 52 week year job life passion coach respect want involv real input would stake reput someth go success connor also agre comment bbc next year wimbledon championship work second week tournament
business, japanes bank battl end japan sumitomo mitsui financi withdrawn takeov offer rival bank ufj hold enabl latter merg mitsubishi tokyo sumitomo boss told counterpart ufj decis friday clear way conclud 3 trillion yen 29bn deal mitsubishi deal would creat world biggest bank asset 189 trillion yen 1 8 trillion sumitomo exit end high profil fight japanes bank histori ufj hold japan fourth largest bank centr fierc bid battl last year sumitomo japan third largest bank tabl higher offer ufj rival valu compani 35bn howev ufj manag known prefer offer mitsubishi tokyo financi group mtfg japan second largest bank concern also rais sumitomo abil absorb ufj former admit defeat believ market investor accept ufj mtfg merger sumitomo said statement given ongo integr ufj mtfg oper persist propos may best interest sharehold ufj mitsubishi takeov ufj japan largest ever takeov deal still approv sharehold two firm howev expect formal sumitomo may turn attent deepen tie daiwa secur anoth japanes financi firm two set merg ventur capit oper specul could lead full blown merger japanes bank increasingli seek allianc boost profit
tech, game maker fight surviv one britain largest independ game maker argonaut game put sale london base compani behind harri potter game sack 100 employe due sever cash crisi administr told bbc news onlin sell argonaut way save run cash argonaut warn low cash 10 day ago share suspend trade london stock exchang argonaut make game 18 year one largest independ game develop uk along headquart north london oper studio cambridg sheffield argonaut behind harri potter game provid healthi flow cash compani like softwar develop argonaut need constant flow deal publish sign troubl emerg august warn head loss 6m financi year due delay sign new contract game new deal delay lead argonaut warn mid octob run cash suspend trade share london stock exchang part cost cut measur 100 employe fire news 6m loss came knew go redund said jason parkinson one game develop sack argonaut lot peopl suspect argonaut troubl time told bbc news onlin mr parkinson said staff told job loss necessari save argonaut go start year compani employ 268 peopl latest round cut 80 staff argonaut headquart edgwar north london 17 morphem offic kentish town london 22 add monster base cambridg argonaut call administr david rubin partner friday find way rescu compani collaps spent weekend go compani financ conclud way save busi put sale administr told bbc news onlin cost restructu would high partli overhead compani four premis across uk said hope could save 110 job sell busi say express interest sever quarter look quick sale administr said would ensur staff made redund would receiv wage redund holiday pay due hope christma
tech, secur warn fbi viru us feder bureau investig warn comput viru spread via e mail purport fbi e mail show come fbi gov address tell recipi access illeg websit messag warn internet use monitor fbi internet fraud complaint center attach e mail contain viru fbi said messag ask recipi click attach answer question internet use rather questionnair attach contain viru infect recipi comput accord agenc clear viru infect comput user warn never open attach unsolicit e mail peopl know recipi similar solicit know fbi engag practic send unsolicit e mail public manner fbi said statement bureau investig phoney e mail agenc earlier month shut fbi gov account use commun public secur breach spokeswoman said two incid appear unrel
tech, halo 2 herald traffic explos grow popular onlin game could spell problem net servic firm warn network monitor compani sandvin issu warn follow analysi show traffic xbox game network increas fourfold launch day halo 2 9 novemb traffic explos continu decemb said sandvin servic provid need make sure network cope increas demand bandwidth well popular singl player titl halo 2 connect microsoft subscript base broadband network xbox live gamer want play onlin creat clan team take other see well compar surg number huge demand bandwidth wake call industri must ensur network cope increas traffic said sandvin chief technolog offic marc morin bid cope eas congest provid increasingli make network intellig find use bandwidth could becom common charg peopl amount bandwidth use explos xbox live traffic attribut halo 2 seen clarion call said isp need enhanc broadband experi high end user prioritis reserv bandwidth game ad one main factor spoil onlin game lag notic delay gamer click mous keyboard happen onlin game world gamer tend migrat toward network lowest lag analys traffic becom increasingli import servic provid hold bandwidth hungri gamer said lindsay schroth analyst research firm yanke group competit broadband environ oper need differenti way offer access servic like live play game said countri korea high level fast net connect home onlin game huge popular
sport, bate seal takeov ken bate complet takeov leed unit 73 year old former chelsea chairman seal deal 0227 gmt friday bought 50 stake club said delight step mantel fantast club recognis leed great club fallen hard time lot hard work ahead get club back belong premiership help fan everyth bate bought stake guis geneva base compani known forward sport fund reveal part plan buy back leed elland road stadium thorp arch train ground due cours go tough jon first task stabilis cash flow sort remain creditor bate ad light end long tunnel past year matter firefight start run club outgo leed chairman gerald krasner said deal ensur medium long term surviv club believ mr bate propos total benefit club content mr bate leed unit continu consolid move forward took leed unit march 2004 club debt 103m sinc date board succeed reduc debt 25m work tirelessli solv problem leed unit eighti percent problem alreadi overcom came agreement mr bate secur ongo success krasner reveal consortium ask remain background club undisclos period help ensur smooth hand stay unpaid capac peter lorim continu role director point contact fan peter mccormick serv consult incom board outgo director agre leav loan 4 5m compani next four year leed new look board understood lorim join former chelsea financ director yvonn todd bate lawyer mark taylor krasner refus give detail financ involv takeov told bbc five live go figur ken want give tell money use dea l money current board last four month never saw chequ week one person stretch figur discuss intern arrang bate step chelsea chairman march last year follow roman abramovich 140m takeov stamford bridg may made propos invest 10m sheffield wednesday reject club sebastien sainsburi close takeov leed withdrew 25m offer last week effort fail reveal would take 40m stage takeov club also lose 10m next six month club brink administr deduct 10 point footbal leagu bate arriv invest spare prospect
sport, cole face lengthi injuri lay aston villa carlton cole could six week knee injuri striker season long loan chelsea pick knock england 21 match holland earlier month carlton action four six week bad challeng said villa boss david leari abl tell whether need oper mayb next week whether oper got left chelsea cole also struggl ankl problem earlier season unabl rest leari shortag striker return fit dariu vassel four month broken ankl emerg luke moor allevi villa manag problem depart
tech, mobil audio enter new dimens mobil phone move closer ubiquit one media player audio becom ever import good sound small devic sound buzz bee jump left right disappear around back head surround sound demo unremark heard multi speaker home cinema system startl emerg small mobil phone british firm sonapt one number compani develop 3d audio technolog emerg stereo speaker firm am3d sr offer stereo widen technolog mobil phone sonapt manag director david monteith say firm compani offer posit 3d audio mobil quit basic technolog make sound seem bit bigger headphon bit nicer one realli tri make proper 3d posit audio individu channel move around sonapt work japanes mobil network ntt docomo set standard 3d audio mobil phone last month handset nec fujitsu mitsubishi releas japanes marker chip produc yamaha rohm sonapt technolog technolog around pc game consol time make effici go small consum devic like mobil phone said mr monteith technolog work appli scienc psychoacoust grew medic research done compani research director dr alastair sibbald basic tri fool ear think sound come area actual brain use certain bit inform effect synthesis mobil phone handset structur ear work 3d encod sound help brain understand sound eman sonapt audio process algorithm mimic 3d encod give impress sound come left right behind listen fact come singl sourc mr montieth say sound one side get one ear right bend around head get left ear shape ear caus differ sound one ear synthesis differ sonapt hope technolog big impact grow market mobil game music download handheld often limit screen small definit want get impact media run either movi game watch tv want immers technolog help fish game first titl use technolog creat 3d sound field gamer play drive game shoot em up use technolog develop technolog also use music give song much expans immers feel sonapt offer technolog chip softwar releas new version significantli improv effici audio process import use 10 15 processor otherwis abl play game handset explain mr montieth compani look us european market work network vodafon focus first japan advanc mobil phone market knew japan would first place handset could use technolog handset uk next six month
sport, moya fight back indian titl carlo moya becam first man success defend chennai open titl beat four time finalist paradorn srichaphan 3 6 6 4 7 6 7 5 spaniard donat 28 000 prize money relief effort victim asian tsunami final close throughout thai second seed srichaphan 2003 winner close first set moya took second set bounc back 5 2 decid forc win tie break moya confirm afterward donat prize money tournament tsunami victim hope make differ live contribut follow pledg four player donat prize money tournament went ahead 26 decemb disast far claim least 150 000 live scrichapan said would donat unspecifi amount relief work thailand 5 000 peopl kill atp announc would contribut us 25 000 tournament fee unicef emerg relief fund tamil nadu atp tour sponsor merced said would also contribut increas atp donat us 40 000
entertainment, career honour actor dicaprio actor leonardo dicaprio except career honour santa barbara intern film festiv star present award martin scorses direct oscar nomin movi aviat lifetim achiev award complet utterli surreal given 30 year old dicaprio said almost 17 year done quit film retrospect movi shown realli excit realli love ad want rest life dicaprio began movi career horror film critter 3 move onto role basketbal diari romeo juliet titan gang new york achiev award creat commemor california festiv 20th anniversari coincid dicaprio portray millionair howard hugh aviat veteran actress jane russel star hugh 1943 film outlaw said impress dicaprio quest authent previous discuss role happi dicaprio came care come find hugh realli like said aviat taken pole posit year oscar race 11 nomin includ nomin best film best actor dicaprio best director scorses
tech, mobil gig aim rock 3g forget go crowd bar enjoy gig latest darl music press could also live gig mobil via latest third gener 3g video phone rock outfit rooster play bill first ever concert broadcast phone tuesday even london venu 45 minut gig due phone cast 3g mobil phone oper 3 3g technolog let peopl take watch send video clip phone well swap data much faster 2g network like gsm peopl 3g phone uk alreadi download footbal music clip handset 1 000 fan london base band pay five pound ticket need 3g handset paid come go much like expect custom mobil said 3 spokesperson belinda henderson like go concert hall except virtual compani behind trial hope learn peopl use video phone look long peopl stay averag stream peopl may stay whole time may dip said ms henderson actual expect peopl dip mobil thing 3 look music way persuad peopl take latest video phone alreadi plan regular gig throughout 2005 intermiss cours would still abl make phone call
politics, terror suspect face hous arrest uk citizen suspect involv terror could face hous arrest part seri new measur outlin home secretari come law lord rule detent 12 foreign terror suspect without trial breach human right charl clark plan control order mean anyon suspect involv terror could subject hous arrest curfew tag law societi dub mr clark new propos abus power deal alreadi sought deport foreign detaine mainli held belmarsh prison london current law introduc us terror attack 11 septemb 2001 mr clark said effort would continu deport countri origin algeria tunisia egypt jordan without face tortur death propos chang prompt hous lord rule home secretari could order british citizen foreign suspect could deport face hous arrest measur restrict movement limit use telephon internet british citizen includ chang law lord said current power discriminatori could use foreign suspect mr clark also said intellig report show british nation play signific role terror threat human right lawyer clive stafford smith said plan abus human right britain mr clark said prosecut govern first prefer promis power would use seriou case independ scrutini judg told mp remain public emerg threaten life nation accept law lord rule argu detent power help prevent attack deter terrorist current detaine would freed new power place still consid nation secur threat told mp call rule wire tap intercept evid allow use court mr clark refus back chang said intercept evid small part case men could use could put sourc live risk terror suspect held indefinit belmarsh prison london conserv shadow home secretari david davi worri extend special power cover british citizen warn throughout histori intern gener backfir resent creat unless process clearli home secretari could find confin one known terrorist recruit 10 unknown terrorist suggest chang law let secur clear judg view evid gather phone tap could allow terror case come court liber democrat spokesman mark oaten also back use wire tap evid said standard proof new power would high inde ask whether minist look measur fit human right law shami chakrabarti human right group liberti join call intercept evid allow trial said adher rule law game cat mous govern swap one human right opt anoth
entertainment, halloween writer debra hill die screenwrit produc debra hill best known work 70 horror classic halloween die lo angel age 54 hill suffer cancer co wrote 1978 film star jami lee curti babysitt terroris psychopath direct john carpent made 60m 31 3m worldwid record independ film time hill also work carpent escap new york fog born new jersey hill began career product assist work way rank becom assist director second unit director began collabor carpent regard mani pioneer woman film take job 70 commonli taken men back start 1974 women industri said 2003 assum make hair person script person never assum writer produc took look around realis mani women carv nich carpent said work hill one greatest experi life ground trailblaz begin follow anyon incred capabl talent said carpent hill collabor number halloween sequel includ halloween ii halloween resurrect halloween curs michael myer later career hill form product compani friend lynda obst make string hit film includ oscar nomine fisher king teen comedi adventur babysit film includ stephen king adapt dead zone 1983 1985 clue comedi base board game cluedo 90 pursu work tv although reunit carpent 1996 escap la sequel escap new york time death work film last two men pull rubbl twin tower follow 11 septemb terror attack 2001 also co produc remak fog due releas earli next year
politics, royal coupl watch nation mood princ charl camilla parker bowl await nation reaction announc marri 8 april mr parker bowl take titl hrh duchess cornwal civil ceremoni held windsor castl daili telegraph poll 1 313 peopl suggest two third briton support coupl decis marri 40 think mr parker bowl becom princess consort plan charl becom king 47 believ titl 7 think becom queen poll also found major briton would prefer monarchi miss gener queen hand throne grandson princ william 22 death abdic thursday night princ charl 56 mr parker bowl 57 host dinner windsor castl first public appear sinc announc engag mr parker bowl said princ went one knee propos ad come earth display diamond engag ring royal famili heirloom report charl said wife absolut delight marriag end year specul relationship date back 1970 queen duke edinburgh said news made happi princ william harri said happi wish coupl luck futur wed civil ceremoni follow servic prayer dedic st georg chapel archbishop canterburi dr rowan william presid marriag like sensit issu mr parker bowl divorc former husband still aliv becam king charl would suprem governor church england anglican remain oppos remarriag divorce divorc diana disappoint countri felt diana treat open sens disillusion princ charl said ro coward wrote authoris biographi diana princess wale archbishop canterburi said pleas princ charl mr camilla parker bowl decid take import step toni blair said delight coupl offer congratul conserv leader michael howard liber democrat leader charl kennedi australia prime minist john howard also offer congratul ad decis marri sensibl good thing mr parker bowl join princ numer engag recent year mostli even event princ trust clarenc hous staff pain point attend event privat capac
tech, firefox browser take microsoft microsoft internet explor seriou rival long await firefox 1 0 web browser releas peopl get excit new softwar releas especi program game music movi player releas first full version firefox manag drum respect amount pre launch fervour fan softwar band togeth rais cash pay advert new york time announc version 1 0 browser avail releas firefox 1 0 9 novemb might even caus head turn microsoft program steadili win peopl away softwar giant internet explor browser firefox creat mozilla foundat start former browser maker netscap back 1998 much develop work done sinc gone firefox made first appear name februari earlier incarn core technolog call phoenix firebird sinc softwar gain prais convert least larg number secur problem come light microsoft internet explor rival ie got boost late june two us comput secur organis warn peopl avoid microsoft program avoid fall victim seriou vulner internet monitor firm websidestori chart grow popul peopl use firefox browser say respons slowli erod stranglehold ie juli year accord websidestori internet explor use 95 web surfer figur remain static year juli ie use popul drop 94 7 end octob stood 92 9 mozilla foundat claim firefox download almost eight million time publicli said would happi garner 10 window use net brows popul firefox prove popular moment far fewer secur hole internet explor innov lack microsoft program instanc firefox allow page differ websit arrang tab user switch easili block pop up neat way find text page let search page brows one power featur firefox mani hundr extra extens produc mozilla foundat open sourc organis mean creator browser happi other play around core code program result mani differ add on extens browser includ everyth version familiar googl toolbar homeland secur monitor keep user awar current threat level firefox use call firebird phoenix also grow number vocal net base fan campaign co ordin spread firefox websit attempt rais 50 000 need full page advert new york time campaign set target recruit 2500 volunt ten day campaign 10 000 peopl sign 250 000 rais ad due run sometim three week period late novemb earli decemb surplu cash use help keep mozilla foundat run microsoft face grow challeng ie hold web use popul altern browser opera safari amaya even netscap
